studymo,year,month,count,popsize,py,rate,lograte,strike1,strike2,roll,vac
5,2002,May,42,37781,3148.4167,.013340038,-4.3169856,0,0,0,0
6,2002,Jun,44,37781,3148.4167,.013975278,-4.2704654,0,0,0,0
7,2002,July,33,37781,3148.4167,.010481459,-4.5581474,0,0,0,0
8,2002,Aug,38,37781,3148.4167,.012069559,-4.417069,0,0,0,0
9,2002,Sep,29,37781,3148.4167,.0092109786,-4.6873593,0,0,0,0
10,2002,Oct,45,37781,3148.4167,.014292899,-4.2479925,0,0,0,0
11,2002,Nov,74,37781,3148.4167,.023503877,-3.7505898,0,0,0,0
12,2002,Dec,125,37781,3148.4167,.039702494,-3.2263412,0,0,0,0
13,2003,Jan,115,38428,3202.3333,.035911314,-3.3267028,0,0,0,0
14,2003,Feb,65,38428,3202.3333,.020297701,-3.8972478,0,0,0,0
15,2003,Mar,43,38428,3202.3333,.013427709,-4.3104348,0,0,0,0
16,2003,Apr,40,38428,3202.3333,.012490893,-4.3827553,0,0,0,0
17,2003,May,40,38428,3202.3333,.012490893,-4.3827553,0,0,0,0
18,2003,Jun,57,38428,3202.3333,.017799521,-4.0285835,0,0,0,0
19,2003,July,120,38428,3202.3333,.037472676,-3.2841432,0,0,0,0
20,2003,Aug,99,38428,3202.3333,.030914959,-3.4765151,0,0,0,0
21,2003,Sep,69,38428,3202.3333,.021546789,-3.8375285,0,0,0,0
22,2003,Oct,78,38428,3202.3333,.024357241,-3.714926,0,0,0,0
23,2003,Nov,88,38428,3202.3333,.027479963,-3.5942981,0,0,0,0
24,2003,Dec,69,38428,3202.3333,.021546789,-3.8375285,0,0,0,0
25,2004,Jan,67,40462,3371.8333,.019870495,-3.9185193,0,0,0,0
26,2004,Feb,65,40462,3371.8333,.019277347,-3.9488246,0,0,0,0
27,2004,Mar,88,40462,3371.8333,.026098562,-3.645875,0,0,0,0
28,2004,Apr,96,40462,3371.8333,.028471159,-3.5588636,0,0,0,0
29,2004,May,92,40462,3371.8333,.027284861,-3.6014233,0,0,0,0
30,2004,Jun,48,40462,3371.8333,.014235579,-4.2520108,0,0,0,0
31,2004,July,69,40462,3371.8333,.020463645,-3.8891053,0,0,0,0
32,2004,Aug,87,40462,3371.8333,.025801988,-3.6573038,0,0,0,0
33,2004,Sep,76,40462,3371.8333,.022539668,-3.7924786,0,0,0,0
34,2004,Oct,80,40462,3371.8333,.023725966,-3.7411852,0,0,0,0
35,2004,Nov,67,40462,3371.8333,.019870495,-3.9185193,0,0,0,0
36,2004,Dec,131,40462,3371.8333,.038851269,-3.2480145,0,0,0,0
37,2005,Jan,129,41245,3437.0833,.037531823,-3.2825661,0,0,0,0
38,2005,Feb,66,41245,3437.0833,.019202327,-3.9527237,0,0,0,0
39,2005,Mar,40,41245,3437.0833,.011637774,-4.4534988,0,0,0,0
40,2005,Apr,37,41245,3437.0833,.010764942,-4.5314608,0,0,0,0
41,2005,May,37,41245,3437.0833,.010764942,-4.5314608,0,0,0,0
42,2005,Jun,32,41245,3437.0833,.0093102194,-4.6766424,0,0,0,0
43,2005,July,56,41245,3437.0833,.016292885,-4.1170268,0,0,0,0
44,2005,Aug,60,41245,3437.0833,.017456662,-4.0480337,0,0,0,0
45,2005,Sep,44,41245,3437.0833,.012801552,-4.3581886,0,0,0,0
46,2005,Oct,61,41245,3437.0833,.017747607,-4.0315046,0,0,0,0
47,2005,Nov,47,41245,3437.0833,.013674385,-4.2922311,0,0,0,0
48,2005,Dec,98,41245,3437.0833,.028512547,-3.557411,0,0,0,0
49,2006,Jan,76,42313,3526.0833,.02155366,-3.8372097,0,0,0,0
50,2006,Feb,99,42313,3526.0833,.028076479,-3.572823,0,0,0,0
51,2006,Mar,78,42313,3526.0833,.022120861,-3.8112342,0,0,0,0
52,2006,Apr,58,42313,3526.0833,.016448846,-4.1075001,0,0,0,0
53,2006,May,56,42313,3526.0833,.015881645,-4.1425915,0,0,0,0
54,2006,Jun,61,42313,3526.0833,.017299648,-4.0570693,0,0,0,0
55,2006,July,70,42313,3526.0833,.019852055,-3.9194477,0,0,0,0
56,2006,Aug,45,42313,3526.0833,.012762035,-4.3612804,0,0,0,0
57,2006,Sep,59,42313,3526.0833,.016732447,-4.0904055,0,0,0,0
58,2006,Oct,48,42313,3526.0833,.013612838,-4.296742,0,0,0,0
59,2006,Nov,69,42313,3526.0833,.019568454,-3.9338365,0,0,0,0
60,2006,Dec,93,42313,3526.0833,.026374873,-3.6353436,0,0,0,0
61,2007,Jan,92,43087,3590.5833,.025622578,-3.6642814,0,0,0,0
