"","scenario","method","autocorr","n","bias","mse","coverage","mcse_bias","mcse_mse","mcse_cover"
"1","1","Linear Reg","0.06|0.02|0.01",20,0.008,0.882,0.943,0.021,0.029,0.005
"2","1","Prais Winsten","0.06|0.02|0.01",20,0.007,0.937,0.898,0.022,0.031,0.007
"3","1","ARMA","0.06|0.02|0.01",20,0.006,0.907,0.873,0.021,0.03,0.007
"4","1","Newey West","0.06|0.02|0.01",20,0.008,0.882,0.73,0.021,0.029,0.01
"5","1","MA(1)","0.06|0.02|0.01",20,0.017,1.027,0.743,0.023,0.034,0.01
"6","1","MA(2)","0.06|0.02|0.01",20,0.024,1.101,0.708,0.023,0.036,0.01
"7","1","MA(3)","0.06|0.02|0.01",20,0.017,1.146,0.682,0.024,0.038,0.01
"8","2","Linear Reg","0.06|0.02|0.01",50,0.001,0.369,0.934,0.014,0.012,0.006
"9","2","Prais Winsten","0.06|0.02|0.01",50,0.001,0.373,0.916,0.014,0.012,0.006
"10","2","ARMA","0.06|0.02|0.01",50,-0.001,0.374,0.894,0.014,0.012,0.007
"11","2","Newey West","0.06|0.02|0.01",50,0.001,0.369,0.808,0.014,0.012,0.009
"12","2","MA(1)","0.06|0.02|0.01",50,0.001,0.376,0.881,0.014,0.012,0.007
"13","2","MA(2)","0.06|0.02|0.01",50,0.002,0.394,0.824,0.014,0.012,0.009
"14","2","MA(3)","0.06|0.02|0.01",50,0.002,0.433,0.754,0.015,0.014,0.01
"15","3","Linear Reg","0.06|0.02|0.01",100,0.004,0.19,0.938,0.01,0.006,0.005
"16","3","Prais Winsten","0.06|0.02|0.01",100,0.005,0.19,0.938,0.01,0.006,0.005
"17","3","ARMA","0.06|0.02|0.01",100,0.003,0.19,0.923,0.01,0.006,0.006
"18","3","Newey West","0.06|0.02|0.01",100,0.004,0.19,0.867,0.01,0.006,0.008
"19","3","MA(1)","0.06|0.02|0.01",100,0.005,0.19,0.929,0.01,0.006,0.006
"20","3","MA(2)","0.06|0.02|0.01",100,0.005,0.191,0.908,0.01,0.006,0.006
"21","3","MA(3)","0.06|0.02|0.01",100,0.004,0.195,0.884,0.01,0.006,0.007
"22","4","Linear Reg","0.06|0.02|0.01",300,0.004,0.062,0.927,0.006,0.002,0.006
"23","4","Prais Winsten","0.06|0.02|0.01",300,0.004,0.063,0.94,0.006,0.002,0.005
"24","4","ARMA","0.06|0.02|0.01",300,0.005,0.063,0.93,0.006,0.002,0.006
"25","4","Newey West","0.06|0.02|0.01",300,0.004,0.062,0.919,0.006,0.002,0.006
"26","4","MA(1)","0.06|0.02|0.01",300,0.004,0.063,0.935,0.006,0.002,0.006
"27","4","MA(2)","0.06|0.02|0.01",300,0.004,0.063,0.937,0.006,0.002,0.005
"28","4","MA(3)","0.06|0.02|0.01",300,0.004,0.063,0.933,0.006,0.002,0.006
"29","5","Linear Reg","0.09|0.06|0.01",20,0.005,0.929,0.938,0.022,0.03,0.005
"30","5","Prais Winsten","0.09|0.06|0.01",20,0.005,0.979,0.896,0.022,0.032,0.007
"31","5","ARMA","0.09|0.06|0.01",20,0.008,0.955,0.862,0.022,0.031,0.008
"32","5","Newey West","0.09|0.06|0.01",20,0.005,0.929,0.748,0.022,0.03,0.01
"33","5","MA(1)","0.09|0.06|0.01",20,0.011,1.065,0.763,0.023,0.035,0.01
"34","5","MA(2)","0.09|0.06|0.01",20,0.002,1.196,0.726,0.024,0.044,0.01
"35","5","MA(3)","0.09|0.06|0.01",20,0.009,1.24,0.691,0.025,0.041,0.01
"36","6","Linear Reg","0.09|0.06|0.01",50,-0.006,0.401,0.92,0.014,0.013,0.006
"37","6","Prais Winsten","0.09|0.06|0.01",50,-0.006,0.401,0.919,0.014,0.013,0.006
"38","6","ARMA","0.09|0.06|0.01",50,-0.005,0.403,0.897,0.014,0.013,0.007
"39","6","Newey West","0.09|0.06|0.01",50,-0.006,0.401,0.818,0.014,0.013,0.009
"40","6","MA(1)","0.09|0.06|0.01",50,-0.006,0.404,0.891,0.014,0.013,0.007
"41","6","MA(2)","0.09|0.06|0.01",50,-0.011,0.421,0.839,0.015,0.014,0.008
"42","6","MA(3)","0.09|0.06|0.01",50,-0.01,0.459,0.769,0.015,0.015,0.009
"43","7","Linear Reg","0.09|0.06|0.01",100,-0.015,0.207,0.919,0.01,0.007,0.006
"44","7","Prais Winsten","0.09|0.06|0.01",100,-0.015,0.207,0.929,0.01,0.007,0.006
"45","7","ARMA","0.09|0.06|0.01",100,-0.015,0.208,0.909,0.01,0.007,0.006
"46","7","Newey West","0.09|0.06|0.01",100,-0.015,0.207,0.872,0.01,0.007,0.007
